Sample in Buffer,Sample in Window,TRIGGER,data_interface_chs_ctrl_inst/read_flag,data_interface_chs_ctrl_inst/ad_data1_en_c1r1_1,data_interface_chs_ctrl_inst/ad_data1_c1r1_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r2_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r3_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r4_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r5_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r6_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r7_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r8_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r1[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r2[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r3[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r4[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r5[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r6[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r7[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r8[30:19],data_interface_chs_ctrl_inst/calibrate_pulse_2,data_interface_chs_ctrl_inst/refresh_pulse_2,data_interface_chs_ctrl_inst/check_cnt_2[27:0],data_interface_chs_ctrl_inst/ad_data1_c3r1[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r2[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r3[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r4[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r5[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r6[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r7[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r8[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r1[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r2[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r3[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r4[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r5[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r6[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r7[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r8[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r1[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r2[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r3[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r4[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r5[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r6[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r7[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r8[30:19],data_interface_chs_ctrl_inst/addata1_cnt[16:0]
203,203,0,1,1,54,-49,-21,70,88,-76,60,-6,-2,-1,-31,-43,36,7,-26,70,0,0,0,-25,-31,61,-45,28,4,-17,44,7,-5,7,6,1,-13,-3,-5,0,0,0,0,0,0,0,0,0131c
204,204,0,1,1,75,-57,0,87,91,-87,55,-2,5,-6,-47,-19,26,-2,-24,68,0,0,0,-44,-4,53,-47,49,6,-25,64,66,-57,49,-73,-79,69,-64,87,0,0,0,0,0,0,0,0,0131d
205,205,0,1,1,77,-45,-13,71,81,-93,54,-7,5,-5,-35,-16,28,-5,-25,66,0,0,0,-51,-29,71,-55,41,4,-12,53,54,-74,29,-78,-82,57,-68,105,0,0,0,0,0,0,0,0,0131e
206,206,0,1,1,60,-58,-21,69,84,-73,52,-5,10,-1,-33,-22,47,-4,-19,77,0,0,0,-38,-14,59,-56,48,-5,-23,44,46,-75,32,-68,-67,59,-60,96,0,0,0,0,0,0,0,0,0131f
207,207,0,1,1,67,-52,-14,76,75,-60,53,-7,20,-9,-44,-24,47,-8,-32,55,0,0,0,-28,-19,53,-53,38,9,-9,49,47,-66,41,-74,-57,71,-60,112,0,0,0,0,0,0,0,0,1320
208,208,0,1,1,73,-43,-13,67,77,-65,57,-5,9,-5,-35,-24,35,0,-31,53,0,0,0,-34,-26,70,-51,40,-2,-11,45,57,-62,40,-57,-77,49,-73,101,0,0,0,0,0,0,0,0,1321
209,209,0,1,1,66,-46,-9,71,64,-73,50,0,10,-4,-45,-17,27,-3,-26,55,0,0,0,-40,-10,50,-39,44,-15,-28,37,62,-68,51,-66,-80,70,-64,104,0,0,0,0,0,0,0,0,1322
210,210,0,1,1,68,-52,-16,92,75,-84,54,-10,23,-5,-54,-29,47,-3,-24,56,0,0,0,-23,-16,55,-63,41,3,-12,50,51,-64,29,-58,-52,71,-51,116,0,0,0,0,0,0,0,0,1323
211,211,0,1,1,61,-55,-9,71,95,-76,41,-7,12,1,-43,-14,38,9,-8,65,0,0,0,-44,-15,50,-51,51,4,-20,43,70,-67,40,-57,-92,59,-74,98,0,0,0,0,0,0,0,0,1324
212,212,0,1,1,-5,3,7,-12,9,-11,-4,-5,10,-3,-5,0,7,-1,5,-11,0,0,0,-2,7,-22,0,9,-14,-7,-15,53,-74,36,-75,-69,58,-59,107,0,0,0,0,0,0,0,0,1325
213,213,0,1,1,-67,52,12,-80,-86,67,-54,2,-1,2,34,22,-21,-12,30,-69,0,0,0,40,29,-70,33,-36,-11,13,-55,-20,3,-27,-3,28,6,9,-2,0,0,0,0,0,0,0,0,1326
214,214,0,1,1,-16,4,-1,-11,-16,7,-11,-1,-19,-3,9,20,-11,5,5,-5,0,0,0,-10,-17,-2,12,-2,4,-4,-6,-49,67,-48,75,71,-70,53,-94,0,0,0,0,0,0,0,0,1327
215,215,0,1,1,66,-55,-14,67,85,-92,54,-8,12,-5,-37,-25,45,10,-25,63,0,0,0,-42,-30,64,-46,47,-6,-21,51,-6,-5,5,-3,-4,-13,-2,10,0,0,0,0,0,0,0,0,1328
216,216,0,1,1,70,-50,-7,69,83,-84,50,-4,13,-1,-43,-29,42,3,-23,69,0,0,0,-37,-13,34,-62,42,2,-20,41,44,-72,43,-86,-81,70,-75,97,0,0,0,0,0,0,0,0,1329
217,217,0,1,1,45,-44,-7,73,73,-72,45,-10,10,-6,-37,-10,25,-1,-28,61,0,0,0,-36,-31,37,-44,44,18,-28,39,62,-65,30,-69,-64,48,-68,96,0,0,0,0,0,0,0,0,0132a
218,218,0,1,1,67,-57,-18,59,85,-79,48,-7,26,-5,-37,-16,41,5,-16,71,0,0,0,-35,-22,68,-46,46,-5,-25,43,56,-57,34,-55,-70,51,-58,101,0,0,0,0,0,0,0,0,0132b
219,219,0,1,1,74,-43,-16,68,74,-79,47,-10,10,-5,-36,-30,41,4,-27,55,0,0,0,-41,-18,65,-50,40,-11,-17,40,49,-69,39,-64,-74,64,-61,110,0,0,0,0,0,0,0,0,0132c
220,220,0,1,1,75,-43,-14,79,76,-77,62,-2,13,-5,-34,-19,36,-13,-24,62,0,0,0,-44,-8,70,-41,55,3,-15,47,69,-66,43,-59,-69,51,-60,91,0,0,0,0,0,0,0,0,0132d
221,221,0,1,1,72,-47,-16,58,83,-73,47,-2,7,-4,-29,-26,37,-1,-7,64,0,0,0,-29,-15,55,-51,33,-7,-21,41,51,-70,44,-54,-76,54,-61,99,0,0,0,0,0,0,0,0,0132e
222,222,0,1,1,0,0,-5,-1,-7,-7,-10,-7,-5,-1,-5,-6,20,-12,2,-18,0,0,0,2,8,-7,-5,0,-9,-4,-3,45,-74,36,-77,-63,57,-57,93,0,0,0,0,0,0,0,0,0132f
223,223,0,1,1,-58,42,6,-78,-95,80,-49,5,-8,1,27,31,-33,-21,29,-70,0,0,0,39,32,-66,46,-42,-5,27,-58,-4,3,-14,6,-1,-13,-1,-5,0,0,0,0,0,0,0,0,1330
224,224,0,1,1,-11,-7,5,-6,-6,-5,-10,-6,-27,-2,2,7,-7,6,8,2,0,0,0,-13,-8,-7,-7,-7,-6,-8,-7,-70,62,-57,82,67,-71,58,-84,0,0,0,0,0,0,0,0,1331
225,225,0,1,1,75,-55,7,91,95,-92,60,-6,-3,-6,-42,-18,45,7,-25,75,0,0,0,-53,-9,71,-47,62,2,-29,52,17,-11,10,-16,-7,1,-7,2,0,0,0,0,0,0,0,0,1332
226,226,0,1,1,28,4,10,10,15,-4,10,-4,5,-2,-3,-11,8,6,3,2,0,0,0,-3,-1,-4,-8,7,-11,-13,-10,48,-92,44,-83,-85,71,-67,109,0,0,0,0,0,0,0,0,1333
227,227,0,1,1,-78,45,13,-81,-83,66,-61,4,-14,2,48,30,-31,2,34,-75,0,0,0,20,2,-61,44,-43,-11,10,-60,-16,-16,-18,-10,11,15,9,4,0,0,0,0,0,0,0,0,1334
228,228,0,1,1,-85,29,14,-63,-90,63,-52,7,-7,1,32,32,-34,-8,28,-66,0,0,0,27,25,-61,51,-41,2,13,-57,-46,64,-38,73,81,-62,74,-98,0,0,0,0,0,0,0,0,1335
229,229,0,1,1,-65,45,12,-66,-80,68,-48,-1,-21,1,31,21,-35,-13,16,-63,0,0,0,18,16,-72,43,-32,3,20,-44,-50,45,-38,71,52,-64,52,-84,0,0,0,0,0,0,0,0,1336
230,230,0,1,1,-59,38,12,-90,-71,76,-46,10,-6,2,30,25,-36,0,20,-67,0,0,0,32,12,-64,43,-39,-1,28,-38,-60,56,-44,51,70,-57,58,-102,0,0,0,0,0,0,0,0,1337
231,231,0,1,1,-57,37,0,-70,-89,81,-45,3,-15,3,26,18,-32,2,21,-60,0,0,0,45,22,-52,43,-43,-3,13,-54,-55,56,-38,56,65,-58,55,-94,0,0,0,0,0,0,0,0,1338
232,232,0,1,1,-62,60,2,-80,-103,81,-63,6,-10,2,38,25,-45,-4,22,-73,0,0,0,43,10,-60,46,-47,5,9,-66,-54,53,-50,63,67,-56,58,-90,0,0,0,0,0,0,0,0,1339
233,233,0,1,1,-71,43,19,-82,-76,66,-52,9,18,4,17,23,-33,12,28,-72,0,0,0,49,30,-82,40,-48,-8,12,-59,-63,85,-39,71,85,-72,81,-101,0,0,0,0,0,0,0,0,0133a
234,234,0,1,1,-75,43,10,-70,-73,64,-37,4,-13,3,34,25,-34,-10,13,-66,0,0,0,24,19,-62,47,-29,-4,31,-40,-49,73,-52,74,60,-64,61,-97,0,0,0,0,0,0,0,0,0133b
235,235,0,1,1,-71,52,1,-88,-84,76,-48,6,-21,-2,47,26,-45,-16,12,-74,0,0,0,34,-8,-51,50,-41,-1,20,-43,-67,53,-56,60,76,-50,70,-98,0,0,0,0,0,0,0,0,0133c
236,236,0,1,1,-3,3,0,-3,-11,10,4,-3,1,-2,-5,4,-1,1,-8,1,0,0,0,2,-10,10,0,-10,-4,0,-4,-38,75,-22,62,81,-65,68,-98,0,0,0,0,0,0,0,0,0133d
237,237,0,1,1,76,-47,-11,83,88,-84,64,-7,22,-4,-33,-34,32,-6,-44,66,0,0,0,-46,-27,75,-62,42,1,-3,59,7,-2,6,-2,-17,-5,-18,-22,0,0,0,0,0,0,0,0,0133e
238,238,0,1,1,-9,-6,-1,11,20,-13,11,-1,0,-1,-3,-5,0,-14,-13,2,0,0,0,-2,-5,7,-7,14,-5,1,2,35,-70,41,-85,-87,66,-71,105,0,0,0,0,0,0,0,0,0133f
239,239,0,1,1,-83,46,14,-67,-90,93,-56,6,-27,2,37,30,-47,-7,21,-66,0,0,0,30,28,-62,58,-47,3,20,-60,10,17,2,-5,1,4,12,3,0,0,0,0,0,0,0,0,1340
240,240,0,1,1,3,6,-1,-14,-18,9,-8,-2,2,0,3,-6,-1,12,0,-6,0,0,0,2,3,2,-6,-16,-5,0,-9,-64,67,-43,73,72,-70,63,-115,0,0,0,0,0,0,0,0,1341
241,241,0,1,1,71,-57,-16,74,83,-90,54,-8,25,-3,-42,-31,48,5,-31,74,0,0,0,-25,-22,80,-44,34,-7,-19,47,-12,8,3,-7,6,0,0,12,0,0,0,0,0,0,0,0,1342
242,242,0,1,1,59,-52,-17,89,85,-75,58,-3,4,-6,-36,-32,32,0,-34,64,0,0,0,-29,-24,68,-50,43,13,-12,64,61,-61,37,-77,-75,76,-60,101,0,0,0,0,0,0,0,0,1343
243,243,0,1,1,45,-42,-11,70,83,-65,52,-7,-18,-5,-22,-16,26,-2,-33,49,0,0,0,-43,-45,54,-52,51,11,-12,51,60,-67,47,-65,-85,57,-69,97,0,0,0,0,0,0,0,0,1344
244,244,0,1,1,2,-9,-4,6,13,-20,-6,0,3,-3,-4,-15,4,4,-6,-3,0,0,0,5,11,-5,-7,1,-5,-10,-12,68,-35,55,-77,-62,63,-53,98,0,0,0,0,0,0,0,0,1345
245,245,0,1,1,-57,54,7,-78,-84,71,-49,3,-7,1,21,19,-28,-3,26,-69,0,0,0,37,43,-66,25,-35,-6,5,-50,5,-2,-6,-8,-1,8,12,17,0,0,0,0,0,0,0,0,1346
246,246,0,1,1,-4,-11,5,-5,3,5,1,-2,-15,-1,-7,25,-1,-1,-4,-12,0,0,0,-21,-8,9,2,4,5,9,6,-68,48,-44,79,72,-65,57,-97,0,0,0,0,0,0,0,0,1347
247,247,0,1,1,71,-62,-21,83,93,-84,56,-11,23,-6,-55,-32,43,14,-32,71,0,0,0,-31,-16,64,-50,39,-1,-23,44,17,0,16,4,-6,-3,-15,-9,0,0,0,0,0,0,0,0,1348
248,248,0,1,1,17,7,4,13,12,0,6,-3,-4,1,-8,4,10,-19,-3,2,0,0,0,7,-1,-5,-16,10,-4,1,-4,58,-68,43,-60,-80,65,-64,107,0,0,0,0,0,0,0,0,1349
249,249,0,1,1,-64,41,20,-72,-77,66,-54,8,-9,0,30,22,-34,1,34,-78,0,0,0,27,28,-65,44,-40,-3,18,-53,-17,-1,-19,-5,18,5,0,0,0,0,0,0,0,0,0,0,0134a
250,250,0,1,1,-69,49,15,-90,-90,66,-58,-2,2,2,30,17,-26,13,32,-65,0,0,0,25,15,-67,49,-48,-14,-3,-58,-68,53,-53,74,91,-59,70,-84,0,0,0,0,0,0,0,0,0134b
251,251,0,1,1,-62,51,20,-68,-75,60,-56,7,-19,2,32,32,-24,-15,21,-72,0,0,0,22,19,-56,49,-25,-8,24,-44,-54,72,-41,67,79,-49,59,-84,0,0,0,0,0,0,0,0,0134c
252,252,0,1,1,-69,40,1,-83,-79,72,-36,4,-6,4,32,22,-32,-2,27,-69,0,0,0,23,25,-65,41,-37,-6,22,-53,-55,53,-47,56,61,-63,45,-100,0,0,0,0,0,0,0,0,0134d
253,253,0,1,1,-49,38,11,-70,-83,72,-53,0,-23,3,37,29,-28,-6,26,-61,0,0,0,13,12,-61,41,-51,-9,16,-50,-65,43,-47,70,82,-62,72,-92,0,0,0,0,0,0,0,0,0134e
254,254,0,1,1,-55,43,16,-58,-90,60,-62,10,-22,2,23,20,-38,-9,15,-76,0,0,0,29,30,-56,41,-41,0,20,-51,-35,69,-44,60,79,-54,65,-90,0,0,0,0,0,0,0,0,0134f
255,255,0,1,1,-76,55,14,-84,-91,84,-54,1,-10,4,43,32,-44,6,21,-65,0,0,0,44,11,-70,54,-45,-5,11,-62,-54,44,-47,69,70,-64,59,-89,0,0,0,0,0,0,0,0,1350
256,256,0,1,1,-64,35,16,-66,-86,64,-64,5,-14,1,35,28,-33,6,30,-55,0,0,0,29,41,-61,44,-40,-12,18,-53,-56,71,-43,68,88,-66,79,-95,0,0,0,0,0,0,0,0,1351
257,257,0,1,1,-70,35,11,-72,-81,69,-51,7,-21,6,12,18,-42,-11,17,-70,0,0,0,24,30,-56,36,-33,2,32,-48,-47,72,-50,65,65,-70,55,-99,0,0,0,0,0,0,0,0,1352
258,258,0,1,1,4,7,2,0,-5,12,-3,-3,-27,-1,11,14,-9,-3,-9,-9,0,0,0,-12,-31,2,6,-7,-2,5,4,-45,59,-42,65,71,-69,52,-93,0,0,0,0,0,0,0,0,1353
259,259,0,1,1,88,-44,-22,78,79,-82,56,-5,19,-5,-41,-33,46,6,-35,76,0,0,0,-48,-9,67,-59,28,-19,-24,46,6,17,-4,-11,5,13,6,-1,0,0,0,0,0,0,0,0,1354
260,260,0,1,1,64,-48,-21,81,83,-62,69,-6,37,-5,-46,-38,40,-15,-26,72,0,0,0,-20,-14,62,-49,46,16,-12,43,46,-71,44,-67,-86,55,-80,90,0,0,0,0,0,0,0,0,1355
261,261,0,1,1,63,-54,-10,84,74,-71,51,-6,15,-3,-34,-23,22,-10,-26,60,0,0,0,-13,-6,48,-61,43,7,-18,53,49,-64,50,-62,-79,37,-70,98,0,0,0,0,0,0,0,0,1356
262,262,0,1,1,-18,-5,-2,-6,10,-3,-5,3,0,2,-6,-10,-4,-6,-18,-6,0,0,0,6,16,-13,-6,2,-7,-1,9,50,-62,34,-72,-71,74,-49,94,0,0,0,0,0,0,0,0,1357
263,263,0,1,1,-94,45,6,-79,-89,87,-51,2,0,6,38,17,-36,-7,26,-73,0,0,0,50,26,-64,59,-54,5,15,-51,0,6,5,10,-6,-4,6,-15,0,0,0,0,0,0,0,0,1358
264,264,0,1,1,-62,44,14,-79,-84,65,-44,4,-5,4,26,30,-41,8,20,-72,0,0,0,31,33,-63,42,-51,-18,11,-48,-87,75,-46,81,72,-66,58,-102,0,0,0,0,0,0,0,0,1359
265,265,0,1,1,-65,38,14,-68,-72,59,-38,7,-29,1,42,22,-38,3,18,-70,0,0,0,19,11,-66,59,-39,-11,17,-47,-65,68,-39,66,65,-54,61,-97,0,0,0,0,0,0,0,0,0135a
266,266,0,1,1,-6,6,-14,-3,-15,-2,-2,1,-18,0,5,-1,-7,-3,3,-1,0,0,0,-4,-8,1,-4,-15,-4,-3,-6,-39,73,-34,60,66,-71,61,-95,0,0,0,0,0,0,0,0,0135b
267,267,0,1,1,72,-51,-4,85,99,-98,49,-1,-2,-4,-46,-19,32,4,-32,77,0,0,0,-48,-25,67,-47,49,-2,-18,49,-3,-5,10,-5,1,-3,-6,-13,0,0,0,0,0,0,0,0,0135c
268,268,0,1,1,71,-53,4,94,99,-85,55,-6,-4,0,-35,-19,26,0,-27,75,0,0,0,-53,-24,56,-40,48,2,-23,45,67,-75,49,-77,-78,77,-58,111,0,0,0,0,0,0,0,0,0135d
269,269,0,1,1,59,-44,-14,60,84,-69,54,-4,11,-3,-35,-9,33,0,-31,66,0,0,0,-42,-22,55,-56,44,3,-25,53,46,-78,28,-72,-69,62,-60,101,0,0,0,0,0,0,0,0,0135e
270,270,0,1,1,57,-58,-11,64,85,-71,50,-4,-3,-2,-30,-16,34,-1,-29,63,0,0,0,-27,-14,59,-46,43,3,-13,58,44,-78,32,-65,-72,61,-66,95,0,0,0,0,0,0,0,0,0135f
271,271,0,1,1,51,-45,-17,61,67,-61,50,-5,7,-4,-33,-24,29,-1,-27,56,0,0,0,-31,-11,47,-41,36,-6,-15,38,72,-47,32,-73,-55,65,-61,112,0,0,0,0,0,0,0,0,1360
272,272,0,1,1,59,-48,-2,69,75,-85,54,-5,13,-1,-41,-21,38,0,-30,56,0,0,0,-43,-20,49,-54,47,-8,-14,40,47,-54,43,-59,-63,51,-56,71,0,0,0,0,0,0,0,0,1361
273,273,0,1,1,77,-45,-2,75,72,-73,52,-9,-6,-4,-34,-26,35,-12,-25,54,0,0,0,-45,-24,61,-52,38,-13,-21,40,33,-84,27,-70,-58,77,-60,113,0,0,0,0,0,0,0,0,1362
274,274,0,1,1,75,-49,-14,82,71,-73,48,-5,15,-10,-34,-26,43,-1,-24,65,0,0,0,-39,-16,69,-43,40,-13,-20,46,57,-60,41,-74,-65,76,-62,101,0,0,0,0,0,0,0,0,1363
275,275,0,1,1,86,-42,-5,85,83,-83,44,-7,7,1,-31,-33,38,-3,-16,68,0,0,0,-40,-11,59,-57,49,-11,-25,39,57,-70,49,-64,-83,59,-61,89,0,0,0,0,0,0,0,0,1364
276,276,0,1,1,16,9,4,1,1,-14,-7,-5,-5,-3,2,-10,3,-1,-1,-6,0,0,0,-2,8,-9,3,2,-18,-17,0,36,-78,14,-85,-57,69,-57,108,0,0,0,0,0,0,0,0,1365
277,277,0,1,1,-57,50,5,-67,-96,64,-68,4,-10,2,24,19,-41,5,28,-77,0,0,0,35,18,-67,47,-51,-5,13,-51,-12,1,-10,1,-6,4,8,-8,0,0,0,0,0,0,0,0,1366
278,278,0,1,1,4,11,-3,-11,-13,11,-2,1,-13,1,-9,2,1,-5,14,-3,0,0,0,-11,-4,5,0,-2,0,-3,-19,-62,52,-54,77,69,-68,59,-100,0,0,0,0,0,0,0,0,1367
279,279,0,1,1,73,-60,-7,80,99,-90,70,-7,9,-3,-44,-23,48,2,-24,72,0,0,0,-48,-20,72,-54,51,-9,-15,55,-2,-10,-2,-5,-7,-1,-13,-6,0,0,0,0,0,0,0,0,1368
280,280,0,1,1,80,-46,-17,81,85,-73,55,-7,21,-2,-47,-34,36,-5,-14,65,0,0,0,-38,-31,60,-65,46,14,-23,34,67,-71,45,-70,-89,74,-71,107,0,0,0,0,0,0,0,0,1369
281,281,0,1,1,60,-35,-14,63,71,-78,52,-3,-6,-8,-24,-20,33,-3,-20,66,0,0,0,-46,-28,62,-36,32,11,-21,41,54,-70,30,-80,-76,63,-60,98,0,0,0,0,0,0,0,0,0136a
282,282,0,1,1,62,-50,-11,71,80,-90,52,-8,16,-4,-23,-25,36,1,-35,55,0,0,0,-42,-24,65,-42,49,-14,-29,45,53,-64,42,-69,-62,57,-62,112,0,0,0,0,0,0,0,0,0136b
283,283,0,1,1,63,-44,-8,60,79,-68,36,-6,26,-5,-36,-23,40,-4,-22,57,0,0,0,-33,-18,62,-53,48,-10,-29,36,42,-69,36,-68,-66,66,-57,106,0,0,0,0,0,0,0,0,0136c
284,284,0,1,1,70,-56,-12,67,87,-87,57,-4,2,-5,-30,-13,37,-9,-24,67,0,0,0,-44,-16,60,-59,42,-15,-10,40,37,-60,27,-64,-74,46,-56,78,0,0,0,0,0,0,0,0,0136d
285,285,0,1,1,66,-55,-15,62,74,-70,53,-7,27,-6,-38,-28,47,-8,-20,58,0,0,0,-20,0,55,-52,43,-21,-36,24,49,-60,38,-72,-59,65,-66,108,0,0,0,0,0,0,0,0,0136e
286,286,0,1,1,-1,7,9,-5,-3,-6,-13,2,12,-2,-10,11,5,-4,11,-13,0,0,0,6,18,-14,-6,-3,-14,-11,-19,41,-66,25,-83,-68,72,-53,96,0,0,0,0,0,0,0,0,0136f
287,287,0,1,1,-70,52,9,-86,-84,65,-51,5,-9,4,33,28,-30,-11,27,-77,0,0,0,26,21,-73,48,-27,-5,25,-71,-8,-3,-14,28,12,1,1,-2,0,0,0,0,0,0,0,0,1370
288,288,0,1,1,-3,5,-4,-18,-5,8,1,-2,-12,-3,-6,-6,9,8,8,0,0,0,0,-3,-9,10,1,-10,-5,-8,0,-57,56,-33,78,82,-61,61,-87,0,0,0,0,0,0,0,0,1371
289,289,0,1,1,76,-51,-8,90,97,-94,57,-9,13,-6,-47,-29,39,11,-22,76,0,0,0,-52,-31,69,-56,50,2,-19,45,0,-9,2,-27,-9,0,-19,4,0,0,0,0,0,0,0,0,1372
290,290,0,1,1,-10,-2,0,3,11,-12,-4,0,8,-2,-2,-5,-1,-10,2,10,0,0,0,-6,3,-10,3,9,-1,-8,-7,62,-74,49,-78,-88,71,-81,118,0,0,0,0,0,0,0,0,1373
291,291,0,1,1,-84,65,21,-78,-98,72,-65,4,-30,0,49,37,-48,-7,36,-81,0,0,0,34,10,-69,44,-60,-4,10,-51,-3,-8,-15,-5,11,5,13,10,0,0,0,0,0,0,0,0,1374
292,292,0,1,1,-76,43,15,-76,-87,74,-61,2,-5,3,37,21,-30,2,35,-59,0,0,0,28,26,-60,48,-30,12,16,-56,-68,75,-42,80,89,-68,55,-121,0,0,0,0,0,0,0,0,1375
293,293,0,1,1,-71,32,9,-76,-61,71,-51,4,-3,3,21,17,-26,5,30,-54,0,0,0,31,29,-63,43,-33,-5,11,-39,-50,60,-26,71,49,-76,57,-94,0,0,0,0,0,0,0,0,1376
294,294,0,1,1,-45,43,7,-69,-79,61,-54,2,-11,1,28,22,-32,-1,22,-72,0,0,0,41,12,-50,47,-44,-6,24,-50,-50,48,-54,57,60,-55,59,-90,0,0,0,0,0,0,0,0,1377
295,295,0,1,1,-57,39,3,-79,-82,71,-52,6,12,7,31,14,-24,5,24,-58,0,0,0,35,21,-56,46,-46,-8,18,-51,-67,64,-33,69,59,-69,50,-114,0,0,0,0,0,0,0,0,1378
296,296,0,1,1,-76,44,14,-69,-86,63,-42,1,-7,2,30,32,-36,1,27,-66,0,0,0,37,23,-67,33,-42,-18,3,-58,-74,55,-45,66,65,-59,64,-80,0,0,0,0,0,0,0,0,1379
297,297,0,1,1,-36,48,18,-70,-87,51,-59,3,-21,-2,27,22,-38,-1,21,-56,0,0,0,27,15,-54,34,-43,-12,8,-52,-61,62,-50,72,92,-52,74,-77,0,0,0,0,0,0,0,0,0137a
298,298,0,1,1,-53,44,22,-71,-79,65,-53,6,-21,4,32,23,-37,-2,11,-70,0,0,0,20,17,-53,42,-42,2,25,-32,-52,56,-45,52,65,-57,60,-105,0,0,0,0,0,0,0,0,0137b
299,299,0,1,1,-69,47,13,-70,-83,87,-44,6,-30,0,34,26,-45,-2,23,-62,0,0,0,25,14,-46,47,-39,-2,21,-55,-54,58,-43,67,60,-62,56,-115,0,0,0,0,0,0,0,0,0137c
300,300,0,1,1,-3,4,-1,-11,-10,5,-7,-1,-2,-3,-8,-17,-2,10,4,8,0,0,0,-11,-9,9,-4,-15,-11,-7,-15,-50,69,-32,64,79,-70,64,-95,0,0,0,0,0,0,0,0,0137d
301,301,0,1,1,58,-52,-11,85,88,-76,64,-7,20,-5,-46,-27,36,-7,-35,67,0,0,0,-26,-12,62,-59,42,12,-14,53,1,0,0,-14,-2,5,-7,-2,0,0,0,0,0,0,0,0,0137e
302,302,0,1,1,4,0,0,15,15,8,5,3,5,-2,-6,-11,-3,-9,-2,6,0,0,0,-2,8,5,-3,8,4,3,-1,58,-53,47,-68,-76,51,-75,99,0,0,0,0,0,0,0,0,0137f
303,303,0,1,1,-77,48,16,-71,-93,84,-67,3,-6,2,22,13,-39,-5,25,-75,0,0,0,43,30,-60,49,-47,4,21,-44,-11,-5,-13,-13,11,-4,-10,-1,0,0,0,0,0,0,0,0,1380
304,304,0,1,1,0,2,0,-3,-17,3,11,2,-5,-1,2,18,-11,4,-17,-12,0,0,0,-2,-2,-4,-4,-7,-5,3,14,-60,50,-46,78,62,-72,54,-112,0,0,0,0,0,0,0,0,1381
305,305,0,1,1,76,-48,-9,73,85,-84,70,-2,7,-4,-25,-18,36,-9,-38,60,0,0,0,-57,-35,87,-40,44,-4,-13,54,-3,8,11,7,-20,4,-4,3,0,0,0,0,0,0,0,0,1382
306,306,0,1,1,76,-62,-24,93,86,-81,63,-11,15,-5,-50,-35,50,-9,-28,77,0,0,0,-29,-16,72,-66,35,9,-18,47,59,-68,50,-83,-72,79,-63,96,0,0,0,0,0,0,0,0,1383
307,307,0,1,1,76,-51,-2,85,72,-66,48,-9,1,-4,-37,-27,30,2,-28,68,0,0,0,-37,-18,50,-61,36,7,-31,41,60,-73,51,-79,-76,60,-73,107,0,0,0,0,0,0,0,0,1384
308,308,0,1,1,15,1,5,15,0,3,-12,1,11,-2,-6,-7,-1,-9,2,7,0,0,0,8,6,10,2,8,15,-8,1,52,-68,40,-61,-70,66,-61,107,0,0,0,0,0,0,0,0,1385
309,309,0,1,1,-61,47,1,-66,-86,64,-45,4,-6,5,31,19,-28,6,27,-71,0,0,0,42,32,-71,36,-47,-13,19,-55,4,-15,-2,1,4,2,4,10,0,0,0,0,0,0,0,0,1386
310,310,0,1,1,-11,-10,12,-2,-7,6,15,-1,-22,-1,5,12,-7,-5,1,-6,0,0,0,-22,-16,1,5,6,1,13,-6,-59,55,-57,69,70,-60,50,-98,0,0,0,0,0,0,0,0,1387
